name,Omegab,Omegac,H0,ns,As,w,wa,mnu,Nncdm,Nur,Omeganu,OmegaM,sigma8_m,sigma8_cb
c0068,0.045469,0.298281,61.40625,0.926875,2.4188e-09,-1.182812,-0.085938,0.138281,1.0,2.0328,0.003937,0.347687,0.855916,0.864091
c0069,0.047969,0.195781,68.90625,0.936875,2.3188e-09,-1.107812,0.289062,0.250781,1.0,2.0328,0.005671,0.249421,0.672167,0.683538
c0070,0.057969,0.265781,78.90625,0.976875,1.9188e-09,-0.807812,-0.210938,0.100781,1.0,2.0328,0.001738,0.325488,0.865608,0.869785
c0071,0.052969,0.230781,63.90625,0.956875,1.7188e-09,-0.957812,0.039062,0.025781,1.0,2.0328,0.000678,0.284428,0.617913,0.619368
c0072,0.042969,0.320781,73.90625,0.996875,2.1187e-09,-1.257812,-0.460938,0.175781,1.0,2.0328,0.003455,0.367205,1.08955,1.097815
c0073,0.044219,0.229531,62.65625,0.971875,1.8688e-09,-1.220312,0.351562,0.232031,1.0,2.0328,0.006346,0.280096,0.63452,0.64537
c0074,0.054219,0.299531,72.65625,0.931875,2.2688e-09,-0.920312,-0.148438,0.082031,1.0,2.0328,0.001668,0.355418,0.94796,0.95206
c0075,0.059219,0.254531,67.65625,0.991875,2.4688e-09,-0.770312,0.101562,0.007031,1.0,2.0328,0.000165,0.313915,0.776235,0.77664
c0076,0.049219,0.344531,77.65625,0.951875,2.0688e-09,-1.070312,-0.398438,0.157031,1.0,2.0328,0.002796,0.396546,1.108341,1.114769
c0077,0.046719,0.247031,70.15625,0.941875,1.9688e-09,-1.295312,0.226562,0.044531,1.0,2.0328,0.000971,0.294721,0.8316,0.834257
c0078,0.056719,0.317031,60.15625,0.981875,2.3688e-09,-0.995312,-0.273438,0.194531,1.0,2.0328,0.005772,0.379522,0.81174,0.821248
c0079,0.051719,0.202031,75.15625,0.921875,2.1688e-09,-0.845312,0.476562,0.269531,1.0,2.0328,0.005123,0.258873,0.602675,0.611392
c0080,0.041719,0.292031,65.15625,0.961875,1.7688e-09,-1.145312,-0.023438,0.119531,1.0,2.0328,0.003023,0.336773,0.79258,0.798805
c0081,0.042344,0.216406,73.28125,0.959375,2.4438e-09,-0.976562,-0.367188,0.278906,1.0,2.0328,0.005576,0.264326,0.83639,0.849114
c0082,0.052344,0.286406,63.28125,0.999375,2.0438e-09,-1.276562,0.132812,0.128906,1.0,2.0328,0.003456,0.342206,0.803873,0.810864
c0083,0.057344,0.241406,78.28125,0.939375,1.8438e-09,-1.126562,-0.117188,0.053906,1.0,2.0328,0.000944,0.299694,0.842379,0.844926
c0084,0.047344,0.331406,68.28125,0.979375,2.2438e-09,-0.826562,0.382812,0.203906,1.0,2.0328,0.004696,0.383446,0.865627,0.87379
